2008,1,3,50000,Daily_ret,STD_daily_ret,Total Return,average Daily_ret,Sharpe
2009,4,7,54600,-0.002229451,,,,
2009,4,8,54723,0.002252747,,,,
2009,4,9,55627,0.016519562,,,,
2009,4,13,55837,0.003775145,,,,
2009,4,14,55471,-0.006554793,,,,
2009,4,15,55888,0.007517442,,,,
2009,4,16,56075,0.003345978,,,,
2009,4,17,56179,0.001854659,,,,
2009,4,20,55823,-0.006336887,,,,
2009,4,21,56818,0.017824194,,,,
2009,4,22,56707,-0.001953606,,,,
2009,4,23,56786,0.001393126,,,,
2009,4,24,57007,0.003891804,,,,
2009,4,27,56827,-0.003157507,,,,
2009,4,28,56697,-0.002287645,,,,
2009,4,29,57336,0.011270438,,,,
2009,4,30,57298,-0.00066276,,,,
2009,5,1,57323,0.000436315,,,,
2009,5,4,57799,0.008303822,,,,
2009,5,5,57835,0.000622848,,,,
2009,5,6,57832,-5.18717E-05,,,,
2009,5,7,57766,-0.001141237,,,,
2009,5,8,57850,0.001454143,,,,
2009,5,11,57763,-0.001503889,,,,
2009,5,12,57493,-0.004674272,,,,
2009,5,13,56878,-0.010696954,,,,
2009,5,14,57133,0.00448328,,,,
2009,5,15,57085,-0.000840145,,,,
2009,5,18,57631,0.009564684,,,,
2009,5,19,57590,-0.000711423,,,,
2009,5,20,57521,-0.001198125,,,,
2009,5,21,57452,-0.001199562,,,,
2009,5,22,57464,0.00020887,,,,
2009,5,26,57670,0.003584853,,,,
2009,5,27,57470,-0.003468008,,,,
2009,5,28,57608,0.002401253,,,,
2009,5,29,57654,0.0007985,,,,
2009,6,1,57691,0.000641759,,,,
2009,6,2,57682,-0.000156004,,,,
2009,6,3,57618,-0.001109532,,,,
2009,6,4,57737,0.002065327,,,,
2009,6,5,57824,0.001506833,,,,
2009,6,8,57823,-1.72939E-05,,,,
2009,6,9,57911,0.001521886,,,,
2009,6,10,58013,0.001761323,,,,
2009,6,11,58044,0.000534363,,,,
2009,6,12,58054,0.000172283,,,,
2009,6,15,58031,-0.000396183,,,,
2009,6,16,57943,-0.001516431,,,,
2009,6,17,57845,-0.001691317,,,,
2009,6,18,57854,0.000155588,,,,
2009,6,19,57887,0.000570401,,,,
2009,6,22,57486,-0.006927289,,,,
2009,6,23,57602,0.002017883,,,,
2009,6,24,57702,0.001736051,,,,
2009,6,25,57799,0.001681051,,,,
2009,6,26,57777,-0.000380629,,,,
2009,6,29,57858,0.001401942,,,,
2009,6,30,57819,-0.000674064,,,,
2009,7,1,57819,0,,,,
2009,7,2,57753,-0.001141493,,,,
2009,7,6,57765,0.000207781,,,,
2009,7,7,57654,-0.001921579,,,,
2009,7,8,57587,-0.001162105,,,,
2009,7,9,57639,0.000902982,,,,
